Plataforma,Año_de_Lanzamiento,Género,Editor,Ventas_NA,Ventas_EU,Ventas_JP,Otras_Ventas,Ventas_Globales,Puntuación_Crítica,Número_Críticas,Puntuación_Usuarios,Número_Usuarios,Desarrolladora,Clasificación_ESRB
PS3,2010,Sports,Black Bean Games,0.15,0.16,0.0,0.07,0.38,73.0,4.0,5.8,4,Lightning Fish Games,E (6 años)
GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38,55.0,21.0,6.0,22,Ambrella,E (6 años)
PS3,2009,Sports,Sega,0.09,0.22,0.0,0.06,0.38,70.0,34.0,6.3,21,Sumo Digital,E (6 años)
Wii,2007,Adventure,Ubisoft,0.34,0.01,0.0,0.03,0.38,70.0,4.0,8.1,12,Yuke's,E (6 años)
PS2,2008,Action,Activision,0.12,0.0,0.0,0.26,0.38,56.0,4.0,5.8,6,Toys for Bob,E (6 años)
DS,2009,Racing,Electronic Arts,0.21,0.13,0.0,0.04,0.38,70.0,7.0,6.3,7,Firebrand Games,E10+ (10 años)
PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38,61.0,22.0,6.6,19,CyberConnect2,T (13 años)
PC,2005,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81.0,52.0,7.7,519,Ensemble Studios,T (13 años)
PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.38,78.0,30.0,7.0,9,SCEE,E10+ (10 años)
XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0.0,0.01,0.38,75.0,16.0,8.6,8,Konami,E10+ (10 años)
3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38,73.0,43.0,6.7,18,Konami,E (6 años)
PS3,2013,Misc,Ubisoft,0.17,0.14,0.0,0.06,0.38,77.0,6.0,7.1,25,Ubisoft,E10+ (10 años)
WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38,68.0,21.0,7.0,106,Nintendo,E10+ (10 años)
GC,2004,Action,Electronic Arts,0.29,0.08,0.0,0.01,0.38,67.0,22.0,7.3,8,EA Games,E (6 años)
